site,dom_land_cover,num_obs
0,0,49
1,1,48
2,2,46
3,3,48
4,4,50
5,5,37
6,0,38
7,1,47
8,2,50
9,3,30
12,4,43
13,5,34
15,0,61
17,1,45
18,2,56
22,3,31
23,4,35
27,5,38
28,0,41
29,1,57
31,2,54
34,3,31
37,4,30
51,5,56
52,0,45
53,1,57
54,2,55
55,3,46
56,4,41
57,5,47
58,0,32
59,1,45
60,2,39
61,3,45
62,4,42
63,5,47
64,0,45
65,1,42
66,2,46
69,3,40
70,4,39
71,5,41
72,0,39
73,1,48
74,2,42
75,3,52
76,4,49
77,5,52
78,0,52
79,1,42
80,2,42
84,3,34
85,4,31
87,5,30
88,0,33
99,1,100
102,2,100
103,3,101
104,4,101
105,5,45
107,0,53
108,1,56
110,2,50
111,3,47
112,4,48
113,5,54
114,0,49
115,1,53
117,2,53
126,3,40
128,4,42
130,5,58
132,0,58
134,1,46
136,2,46
137,3,79
138,4,82
139,5,106
141,0,106
142,1,65
151,2,35
155,3,30
156,4,30
168,5,38
169,0,54
170,1,34
171,2,38
172,3,55
173,4,51
183,5,69
184,0,68
187,1,47
194,2,68
195,3,69
196,4,69
197,5,69
212,0,49
214,1,65
216,2,34
218,3,64
219,4,48
220,5,48
221,0,33
222,1,63
223,2,69
224,3,42
226,4,31
227,5,65
228,0,63
230,1,63
231,2,70
232,3,70
233,4,65
234,5,69
235,0,64
238,1,63
239,2,32
241,3,49
242,4,50
243,5,51
245,0,56
246,1,52
249,2,35
250,3,38
251,4,38
258,5,46
259,0,32
260,1,32
261,2,33
262,3,46
263,4,35
264,5,94
265,0,94
266,1,43
267,2,40
268,3,40
269,4,42
273,5,32
275,0,32
276,1,30
277,2,32
278,3,61
279,4,61
280,5,59
281,0,37
283,1,52
284,2,53
285,3,42
288,4,38
301,5,38
302,0,48
303,1,51
304,2,47
321,3,49
323,4,44
324,5,46
326,0,43
327,1,43
328,2,52
